timestamp;user;category;application;event_type;event_relevance;event_src_path;event_dest_path;clipboard_content;mouse_coord;workbook;current_worksheet;worksheets;sheets;cell_content;cell_range;cell_range_number;window_size;slides;effect;hotkey;id;title;description;browser_url;eventQual;tab_moved_from_index;tab_moved_to_index;newZoomFactor;oldZoomFactor;tab_pinned;tab_audible;tab_muted;window_ingognito;file_size;tag_category;tag_type;tag_name;tag_title;tag_value;tag_checked;tag_html;tag_href;tag_innerText;tag_option;tag_attributes;xpath;xpath_full;screenshot
2026-10-15T08:00:00.216;m.rossi;System;Citrix;open;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Launch Workspace;;;;;
2026-10-15T08:00:04.811;m.rossi;System;Citrix;typeText;;;;;;;;;;;;;;;;;;VPN Token;;;;;;;;;;;;;;;;;;;;;Unlock;;;;;
2026-10-15T08:00:07.440;m.rossi;Desktop;CardTool;click;;;;;;;;;;;;;;;;;;Card Issuance;;;;;;;;;;;;;;;;;;;;;New Card;;;;;
2026-10-15T08:00:10.289;m.rossi;Desktop;Excel;click;;;;;;ledger.xlsx;Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New Row;;;;;
2026-10-15T08:00:17.860;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/recon;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:21.463;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/loans;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:26.915;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/loans;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:30.922;m.rossi;Desktop;CardTool;click;;;;;;;;;;;;;;;;;;Card Issuance;;;;;;;;;;;;;;;;;;;;;New Card;;;;;
2026-10-15T08:00:36.126;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/loans;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:40.227;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/recon;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:44.936;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/recon;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:47.821;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/loans;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:52.140;m.rossi;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://bank.intra/recon;;;;;;;;;;;;;;;;;;;;;;;;
2026-10-15T08:00:57.602;m.rossi;Desktop;Excel;click;;;;;;ledger.xlsx;Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New Row;;;;;
2026-10-15T08:01:04.123;m.rossi;Desktop;CardTool;click;;;;;;;;;;;;;;;;;;Card Issuance;;;;;;;;;;;;;;;;;;;;;New Card;;;;;
2026-10-15T08:01:09.371;m.rossi;Desktop;CardTool;click;;;;;;;;;;;;;;;;;;Card Issuance;;;;;;;;;;;;;;;;;;;;;New Card;;;;;
2026-10-15T08:01:15.938;m.rossi;Desktop;Excel;click;;;;;;ledger.xlsx;Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New Row;;;;;
2026-10-15T08:01:20.255;m.rossi;Desktop;Excel;click;;;;;;ledger.xlsx;Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New Row;;;;;
2026-10-15T08:01:25.170;m.rossi;Desktop;Excel;editCell;;;;;;ledger.xlsx;Journal;;;JRN-7701;A11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
