timestamp;user;category;application;event_type;event_relevance;event_src_path;event_dest_path;clipboard_content;mouse_coord;workbook;current_worksheet;worksheets;sheets;cell_content;cell_range;cell_range_number;window_size;slides;effect;hotkey;id;title;description;browser_url;eventQual;tab_moved_from_index;tab_moved_to_index;newZoomFactor;oldZoomFactor;tab_pinned;tab_audible;tab_muted;window_ingognito;file_size;tag_category;tag_type;tag_name;tag_title;tag_value;tag_checked;tag_html;tag_href;tag_innerText;tag_option;tag_attributes;xpath;xpath_full;screenshot
2026-11-05T09:00:00.177;Leonardo;Browser;Chrome;navigateTo;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/auth;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:00:06.712;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/auth;;;;;;;;;;;;button;;;;;;;Login;;;;;
2026-11-05T09:00:10.395;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/finance-hub;;;;;;;;;;;;button;;;;;;;Open Finance Workspace;;;;;
2026-11-05T09:00:16.622;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/operations-hub;;;;;;;;;;;;button;;;;;;;Open Operations Workspace;;;;;
2026-11-05T09:00:18.502;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/ledger-hub;;;;;;;;;;;;button;;;;;;;Load Ledger Snapshot;;;;;
2026-11-05T09:00:22.133;Leonardo;Browser;Chrome;mouseMove;;;;;(1735,910);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:00:24.922;Leonardo;Browser;Chrome;windowFocus;;;;;;;;;;;;;1920x1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:00:27.609;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/billing;;;;;;;;;;;;button;;;;;;;Case REF-801;;;;;
2026-11-05T09:00:29.655;Leonardo;Browser;Chrome;resizeWindow;;;;;;;;;;;;;1280x1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:00:35.274;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/billing;;;;;;;;;;;;button;;;;;;;Case REF-802;;;;;
2026-11-05T09:00:40.902;Leonardo;Browser;Chrome;resizeWindow;;;;;;;;;;;;;1280x1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:00:45.790;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/billing;;;;;;;;;;;;button;;;;;;;Case REF-803;;;;;
2026-11-05T09:00:51.384;Leonardo;Browser;Chrome;copy;;;;TODO call bank;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:00:55.904;Leonardo;Browser;Chrome;zoomChange;;;;;;;;;;;;;;;;;;;;;;;;1.25;1.0;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:00.247;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/billing;;;;;;;;;;;;button;;;;;;;Case REF-804;;;;;
2026-11-05T09:01:06.701;Leonardo;Browser;Chrome;zoomChange;;;;;;;;;;;;;;;;;;;;;;;;1.25;1.0;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:10.940;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/finance;;;;;;;;;;;;button;;;;;;;Open INV-501;;;;;
2026-11-05T09:01:15.848;Leonardo;Browser;Chrome;windowFocus;;;;;;;;;;;;;1920x1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:17.370;Leonardo;Browser;Chrome;mouseHover;;;;;(1410,697);;;;;;;;;;;;;;;;;;;;;;;;;;;div;;;;;;;;;;;;
2026-11-05T09:01:20.665;Leonardo;Browser;Chrome;resizeWindow;;;;;;;;;;;;;1280x1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:22.740;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/finance;;;;;;;;;;;;button;;;;;;;Open INV-502;;;;;
2026-11-05T09:01:27.388;Leonardo;Browser;Chrome;tabChange;;;;;;;;;;;;;;;;;;;;https://mail.google.com;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:32.428;Leonardo;Browser;Chrome;scroll;;;;;(0,2851);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:35.115;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/finance;;;;;;;;;;;;button;;;;;;;Open INV-503;;;;;
2026-11-05T09:01:39.524;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/finance;;;;;;;;;;;;button;;;;;;;Open INV-504;;;;;
2026-11-05T09:01:44.546;Leonardo;Browser;Chrome;mouseHover;;;;;(594,19);;;;;;;;;;;;;;;;;;;;;;;;;;;div;;;;;;;;;;;;
2026-11-05T09:01:47.841;Leonardo;Browser;Chrome;mouseMove;;;;;(1556,630);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:49.107;Leonardo;Browser;Chrome;copy;;;;lunch at 1?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:01:51.627;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/ledger;;;;;;;;;;;;button;;;;;;;Acct ACC-601;;;;;
2026-11-05T09:01:53.278;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/ledger;;;;;;;;;;;;button;;;;;;;Acct ACC-602;;;;;
2026-11-05T09:01:56.336;Leonardo;Browser;Chrome;mouseMove;;;;;(56,394);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:02:00.611;Leonardo;Browser;Chrome;mouseMove;;;;;(259,399);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:02:04.859;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/ledger;;;;;;;;;;;;button;;;;;;;Acct ACC-603;;;;;
2026-11-05T09:02:06.763;Leonardo;Browser;Chrome;resizeWindow;;;;;;;;;;;;;1280x1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-11-05T09:02:08.308;Leonardo;Browser;Chrome;click;;;;;;;;;;;;;;;;;;;;https://erp.internal.com/ledger;;;;;;;;;;;;button;;;;;;;Acct ACC-604;;;;;
