timestamp,model,input_tokens,output_tokens,total_tokens
2026-06-13 13:25:47,gemini-2.5-flash,138,1,139
2026-06-13 13:25:49,gemini-2.5-flash,948,290,1238
2026-06-13 13:25:56,gemini-2.5-flash,2415,676,3798
2026-06-13 13:26:01,gemini-2.5-flash,1462,707,2630
2026-06-13 13:32:43,gemini-2.5-flash,948,285,1233
2026-06-13 13:32:50,gemini-2.5-flash,2415,744,3857
2026-06-13 13:32:55,gemini-2.5-flash,1462,623,2594
2026-06-13 13:42:50,gemini-2.5-flash,948,290,1238
2026-06-13 13:42:57,gemini-2.5-flash,2415,611,3751
2026-06-13 13:43:03,gemini-2.5-flash,1462,593,2566
2026-06-13 15:33:30,gemini-2.5-flash,948,203,1151
2026-06-13 15:33:37,gemini-2.5-flash,2415,780,3960
2026-06-13 15:33:42,gemini-2.5-flash,1462,655,2627
2026-06-13 15:36:29,gemini-2.5-flash,200,18,218
2026-06-13 15:36:30,gemini-2.5-flash,942,290,1232
2026-06-13 15:36:37,gemini-2.5-flash,3117,609,4496
2026-06-13 15:36:43,gemini-2.5-flash,2164,971,3552
2026-06-14 13:00:49,gemini-2.5-flash,138,1,139
2026-06-14 13:00:51,gemini-2.5-flash,948,285,1233
2026-06-14 13:00:51,gemini-2.5-flash,1891,32,1923
2026-06-14 13:00:59,gemini-2.5-flash,2763,744,4411
2026-06-14 13:01:05,gemini-2.5-flash,1765,770,3043
2026-06-14 13:13:39,gemini-2.5-flash,948,162,1110
2026-06-14 13:13:40,gemini-2.5-flash,1891,7,1898
2026-06-14 13:13:48,gemini-2.5-flash,2763,1139,4694
2026-06-14 13:13:54,gemini-2.5-flash,1765,762,2882
2026-06-14 13:37:42,gemini-2.5-flash,948,203,1151
2026-06-14 13:37:42,gemini-2.5-flash,1891,1,1892
2026-06-14 13:37:49,gemini-2.5-flash,2763,820,4336
2026-06-14 13:37:55,gemini-2.5-flash,1765,794,3069
2026-06-14 13:53:07,gemini-2.5-flash,139,1,140
2026-06-14 13:53:08,gemini-2.5-flash,948,203,1151
2026-06-14 13:53:09,gemini-2.5-flash,2604,12,2616
2026-06-14 13:53:18,gemini-2.5-flash,3476,886,5152
2026-06-14 13:53:23,gemini-2.5-flash,2478,843,3755
2026-06-14 13:56:30,gemini-2.5-flash,3476,886,5075
