timestamp,model,input_tokens,output_tokens,total_tokens
2026-06-11 17:56:02,gemini-2.5-flash-lite,147,1,148
2026-06-11 17:56:03,gemini-2.5-flash-lite,933,240,1173
2026-06-11 17:56:07,gemini-2.5-flash-lite,2915,182,3506
2026-06-11 17:56:11,gemini-2.5-flash-lite,2579,1398,4347
2026-06-11 18:57:25,gemini-2.5-flash,2715,201,3255
2026-06-11 22:29:59,gemini-2.5-flash,2350,1076,3931
2026-06-12 16:10:49,gemini-2.5-flash,181,1,182
2026-06-12 16:10:51,gemini-2.5-flash,1005,252,1257
2026-06-12 16:10:55,gemini-2.5-flash,3276,258,3936
2026-06-12 16:11:04,gemini-2.5-flash,2942,1519,4971
2026-06-12 16:24:05,gemini-2.5-flash,218,23,241
2026-06-12 16:24:07,gemini-2.5-flash,959,285,1244
2026-06-12 16:24:11,gemini-2.5-flash,6281,199,6898
2026-06-12 16:24:21,gemini-2.5-flash,5934,1960,8395
2026-06-12 16:50:33,gemini-2.5-flash,5953,132,6085
2026-06-12 16:50:43,gemini-2.5-flash,4844,1929,7283
2026-06-12 17:12:37,gemini-2.5-flash,6332,236,7055
2026-06-12 17:12:46,gemini-2.5-flash,4886,1871,7196
2026-06-12 17:27:18,gemini-2.5-flash,953,290,1243
2026-06-12 17:27:19,gemini-2.5-flash,6113,129,6242
2026-06-12 17:27:23,gemini-2.5-flash,6492,292,7218
2026-06-12 17:27:50,gemini-2.5-flash,5075,1969,7555
2026-06-12 21:31:54,gemini-2.5-flash,967,290,1257
2026-06-12 21:31:56,gemini-2.5-flash,6233,132,6365
2026-06-12 21:32:00,gemini-2.5-flash,6612,229,7309
2026-06-12 21:33:35,gemini-2.5-flash,5166,1901,7576
2026-06-12 23:07:36,gemini-2.5-flash,2383,1,2384
2026-06-12 23:07:40,gemini-2.5-flash,2766,244,3460
2026-06-12 23:25:28,gemini-2.5-flash,2383,1,2384
2026-06-12 23:25:31,gemini-2.5-flash,2766,207,3350
2026-06-12 23:31:54,gemini-2.5-flash,2383,1,2384
2026-06-12 23:31:58,gemini-2.5-flash,2766,244,3418
2026-06-12 23:33:58,gemini-2.5-flash,2383,7,2390
2026-06-12 23:34:02,gemini-2.5-flash,2766,185,3409
2026-06-12 23:39:44,gemini-2.5-flash,2941,25,2966
2026-06-12 23:39:48,gemini-2.5-flash,3327,279,4105
